,Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,Gls.1,Ast.1,xG,xA,xG.1,xA.1
0,Ederson, BRA,GK,29-055,9,9,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Erling Haaland, NOR,FW,22-082,9,9,751.0,15.0,3.0,0.0,0.0,1.8,0.36,9.0,1.3,1.08,0.15
2,João Cancelo, POR,DF,28-137,9,9,736.0,2.0,1.0,2.0,0.0,0.24,0.12,0.3,0.6,0.04,0.07
3,Phil Foden, ENG,FW,22-136,9,9,658.0,6.0,4.0,1.0,0.0,0.82,0.55,3.5,1.5,0.48,0.21
4,Kevin De Bruyne, BEL,MF,31-105,9,8,681.0,1.0,9.0,0.0,0.0,0.13,1.19,1.5,4.0,0.2,0.53
5,Rodri, ESP,MF,26-111,8,8,672.0,0.0,3.0,1.0,0.0,0.0,0.4,0.5,0.6,0.06,0.08
6,Rúben Dias, POR,DF,25-150,8,7,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.06,0.01
7,Bernardo Silva, POR,"MF,FW",28-062,9,7,618.0,2.0,4.0,0.0,0.0,0.29,0.58,1.2,1.4,0.18,0.21
8,Kyle Walker, ENG,DF,32-136,7,7,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.02
9,İlkay Gündoğan, GER,MF,31-352,8,6,534.0,2.0,1.0,0.0,0.0,0.34,0.17,1.4,1.7,0.23,0.29
10,John Stones, ENG,DF,28-136,6,5,461.0,0.0,2.0,1.0,0.0,0.0,0.39,0.2,0.7,0.03,0.14
11,Nathan Aké, NED,DF,27-235,6,5,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.04,0.02
12,Jack Grealish, ENG,FW,27-031,5,3,318.0,1.0,0.0,0.0,0.0,0.28,0.0,0.8,0.9,0.23,0.25
13,Riyad Mahrez, ALG,"FW,MF",31-232,8,3,311.0,1.0,0.0,0.0,0.0,0.29,0.0,0.9,0.4,0.27,0.12
14,Manuel Akanji, SUI,DF,27-084,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.06,0.0
15,Julián Álvarez, ARG,"FW,MF",22-253,7,1,207.0,2.0,0.0,0.0,0.0,0.87,0.0,0.8,0.4,0.37,0.18
16,Sergio Gómez, ESP,"DF,MF",22-037,5,0,111.0,0.0,1.0,0.0,0.0,0.0,0.81,0.1,0.4,0.09,0.29
17,Cole Palmer, ENG,"MF,FW",20-158,6,0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.08
18,Rico Lewis, ENG,"DF,MF",17-324,3,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Aymeric Laporte, ESP,DF,28-137,1,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.33,0.0
20,Kalvin Phillips, ENG,MF,26-313,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Scott Carson, ENG,GK,37-038,0,0,,,,,,,,,,,
22,Liam Delap, ENG,FW,19-245,0,0,,,,,,,,,,,
23,Claudio Gomes, FRA,MF,22-080,0,0,,,,,,,,,,,
24,Ben Knight, ENG,MF,20-119,0,0,,,,,,,,,,,
25,Luke Mbete-Tatu, ENG,DF,19-023,0,0,,,,,,,,,,,
26,Stefan Ortega, GER,GK,29-339,0,0,,,,,,,,,,,
27,Josh Wilson-Esbrand, ENG,DF,19-289,0,0,,,,,,,,,,,
28,Josh Wilson-Esbrand, ENG,DF,19-289,0,0,,,,,,,,,,,
