Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Ederson,br BRA,GK,29-094,14,0,0,0,0,2,0,0,0,0,0,0,0,19,3,0,100,Matches
João Cancelo,pt POR,DF,28-176,12.4,3,1,0,10,14,4,39,17,20,0,2,0,75,24,10,70.6,Matches
Kevin De Bruyne,be BEL,MF,31-144,12.6,0,0,0,13,13,2,112,3,7,1,0,0,50,5,10,33.3,Matches
Rodri,es ESP,MF,26-150,12.5,1,0,0,18,7,2,2,14,18,0,0,0,119,35,15,70,Matches
Bernardo Silva,pt POR,"MF,FW",28-101,11.9,1,0,0,9,9,0,28,7,10,1,0,0,55,0,3,0,Matches
Erling Haaland,no NOR,FW,22-121,11.5,2,0,0,9,9,4,3,1,1,1,0,0,9,13,13,50,Matches
Phil Foden,eng ENG,"FW,DF",22-175,10.1,1,0,0,4,12,0,53,3,5,0,0,0,54,9,17,34.6,Matches
?lkay Gündo?an,de GER,MF,32-026,9.9,0,0,0,8,7,3,12,8,6,0,0,0,53,11,3,78.6,Matches
Rúben Dias,pt POR,DF,25-189,9.7,0,0,0,10,3,0,0,12,3,0,0,0,41,26,13,66.7,Matches
John Stones,eng ENG,DF,28-175,8.1,1,0,0,3,3,1,2,3,7,0,0,1,37,10,6,62.5,Matches
Manuel Akanji,ch SUI,DF,27-123,7.8,1,0,0,8,3,0,0,5,9,0,0,0,40,7,16,30.4,Matches
Nathan Aké,nl NED,DF,27-274,6.3,0,0,0,2,4,1,2,5,3,0,0,0,24,13,10,56.5,Matches
Kyle Walker,eng ENG,DF,32-175,6.2,0,0,0,2,3,0,4,4,1,0,0,0,31,7,2,77.8,Matches
Jack Grealish,eng ENG,FW,27-070,6.1,0,0,0,5,17,1,16,2,1,0,0,0,34,6,2,75,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-271,4.1,1,0,0,1,3,1,19,2,3,0,0,0,23,2,4,33.3,Matches
Julián Álvarez,ar ARG,"FW,MF",22-292,4,0,0,0,6,2,1,5,0,4,0,0,0,7,3,5,37.5,Matches
Aymeric Laporte,es ESP,DF,28-176,3.2,0,0,0,0,2,0,2,1,1,0,0,0,11,11,4,73.3,Matches
Sergio Gómez,es ESP,"DF,MF",22-076,1.2,0,0,0,0,0,0,4,2,1,0,0,0,5,1,2,33.3,Matches
Cole Palmer,eng ENG,"FW,MF",20-197,1.2,0,0,0,0,3,1,4,1,1,0,0,0,6,1,1,50,Matches
Rico Lewis,eng ENG,"DF,MF",17-363,0.4,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,,Matches
Kalvin Phillips,eng ENG,MF,26-352,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
