Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,Prog,Matches
Ederson,br BRA,GK,29-094,14,462,524,88.2,10806,7006,99,101,98,258,260,99.2,105,163,64.4,1,0.2,0.2,0.8,1,3,0,0,0,Matches
João Cancelo,pt POR,DF,28-176,12.4,929,1083,85.8,15066,3872,516,549,94,321,377,85.1,78,114,68.4,1,0.8,1.4,0.2,11,73,31,8,66,Matches
Kevin De Bruyne,be BEL,MF,31-144,12.6,531,740,71.8,10038,2987,240,279,86,206,280,73.6,79,140,56.4,9,6,6.8,3,45,56,50,12,82,Matches
Rodri,es ESP,MF,26-150,12.5,1097,1206,91,20044,5082,449,486,92.4,516,552,93.5,118,142,83.1,3,0.8,1.5,2.2,11,121,12,0,72,Matches
Bernardo Silva,pt POR,"MF,FW",28-101,11.9,629,721,87.2,10307,1775,332,357,93,228,254,89.8,49,70,70,5,1.8,2,3.2,20,34,21,6,40,Matches
Erling Haaland,no NOR,FW,22-121,11.5,143,194,73.7,1852,403,76,95,80,48,63,76.2,4,5,80,3,2.8,2.1,0.2,14,8,12,0,18,Matches
Phil Foden,eng ENG,"FW,DF",22-175,10.1,465,575,80.9,7090,1306,276,302,91.4,138,163,84.7,32,63,50.8,4,2,2,2,21,24,21,8,28,Matches
?lkay Gündo?an,de GER,MF,32-026,9.9,526,594,88.6,8386,1871,272,295,92.2,191,205,93.2,45,56,80.4,2,2.1,1.8,-0.1,23,62,16,0,51,Matches
Rúben Dias,pt POR,DF,25-189,9.7,830,900,92.2,14982,5430,295,313,94.2,479,506,94.7,48,64,75,0,0.1,0.1,-0.1,2,51,0,0,34,Matches
John Stones,eng ENG,DF,28-175,8.1,605,642,94.2,10342,2534,274,286,95.8,281,295,95.3,40,47,85.1,2,1.3,0.7,0.7,5,43,2,0,19,Matches
Manuel Akanji,ch SUI,DF,27-123,7.8,575,609,94.4,9758,2830,262,271,96.7,276,286,96.5,29,38,76.3,1,0.1,0.2,0.9,3,41,0,0,25,Matches
Nathan Aké,nl NED,DF,27-274,6.3,574,617,93,9708,3852,250,265,94.3,291,304,95.7,26,35,74.3,0,0.1,0.3,-0.1,2,44,0,0,23,Matches
Kyle Walker,eng ENG,DF,32-175,6.2,545,608,89.6,9624,2775,245,260,94.2,233,252,92.5,59,81,72.8,0,0.1,0.2,-0.1,3,74,1,0,40,Matches
Jack Grealish,eng ENG,FW,27-070,6.1,269,317,84.9,3693,679,186,196,94.9,65,76,85.5,14,24,58.3,0,1.2,1.3,-1.2,15,9,11,0,18,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-271,4.1,218,254,85.8,3895,717,114,123,92.7,74,83,89.2,30,42,71.4,0,0.5,0.7,-0.5,7,12,9,2,16,Matches
Julián Álvarez,ar ARG,"FW,MF",22-292,4,101,120,84.2,1329,194,64,68,94.1,21,27,77.8,6,9,66.7,0,0.4,0.4,-0.4,5,8,4,1,8,Matches
Aymeric Laporte,es ESP,DF,28-176,3.2,226,250,90.4,3795,1095,105,110,95.5,106,116,91.4,11,17,64.7,0,0.1,0.2,-0.1,3,27,4,0,13,Matches
Sergio Gómez,es ESP,"DF,MF",22-076,1.2,72,88,81.8,1166,315,33,38,86.8,30,35,85.7,5,6,83.3,1,0.4,0.2,0.6,2,8,2,0,5,Matches
Cole Palmer,eng ENG,"FW,MF",20-197,1.2,53,62,85.5,900,134,27,28,96.4,23,26,88.5,3,7,42.9,0,0.1,0.2,-0.1,2,2,5,1,7,Matches
Rico Lewis,eng ENG,"DF,MF",17-363,0.4,35,39,89.7,501,79,20,21,95.2,12,12,100,2,2,100,0,0,0,0,0,5,0,0,1,Matches
Kalvin Phillips,eng ENG,MF,26-352,0,6,8,75,131,19,0,1,0,6,6,100,0,1,0,0,0,0,0,0,2,0,0,0,Matches
