Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
7/30/2022,5:00:00 PM,Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,,,57,,Rœben Dias,4-3-3,Craig Pawson,Match Report,
8/7/2022,4:30:00 PM,Premier League,Matchweek 1,Sun,Away,W,2,0,West Ham,2.2,0.5,75,62443,?lkay GŸndo?an,4-3-3,Michael Oliver,Match Report,
8/13/2022,3:00:00 PM,Premier League,Matchweek 2,Sat,Home,W,4,0,Bournemouth,1.7,0.1,67,53453,?lkay GŸndo?an,4-2-3-1,David Coote,Match Report,
8/21/2022,4:30:00 PM,Premier League,Matchweek 3,Sun,Away,D,3,3,Newcastle Utd,2.1,1.8,69,52258,?lkay GŸndo?an,4-3-3,Jarred Gillett,Match Report,
8/27/2022,3:00:00 PM,Premier League,Matchweek 4,Sat,Home,W,4,2,Crystal Palace,2.2,0.1,74,53112,Kevin De Bruyne,4-2-3-1,Darren England,Match Report,
8/31/2022,7:30:00 PM,Premier League,Matchweek 5,Wed,Home,W,6,0,Nott'ham Forest,3.3,0.7,74,53409,?lkay GŸndo?an,4-2-3-1,Paul Tierney,Match Report,
9/3/2022,5:30:00 PM,Premier League,Matchweek 6,Sat,Away,D,1,1,Aston Villa,2.1,0.3,71,41830,?lkay GŸndo?an,4-3-3,Simon Hooper,Match Report,
9/6/2022,9:00:00 PM,Champions Lg,Group stage,Tue,Away,W,4,0,es Sevilla,3.6,0.3,61,38764,Kevin De Bruyne,4-3-3,Davide Massa,Match Report,
9/10/2022,5:30:00 PM,Premier League,Matchweek 7,Sat,Home,,,,Tottenham,,,,,,,,,Match Postponed
9/14/2022,8:00:00 PM,Champions Lg,Group stage,Wed,Home,W,2,1,de Dortmund,1,0.7,66,50441,?lkay GŸndo?an,4-3-3,Daniele Orsato,Match Report,
9/17/2022,12:30:00 PM,Premier League,Matchweek 8,Sat,Away,W,3,0,Wolves,1.1,0.4,59,31578,Kevin De Bruyne,4-3-3,Anthony Taylor,Match Report,
10/2/2022,2:00:00 PM,Premier League,Matchweek 9,Sun,Home,W,6,3,Manchester Utd,3.2,1.7,53,53475,?lkay GŸndo?an,4-3-3,Michael Oliver,Match Report,
10/5/2022,8:00:00 PM,Champions Lg,Group stage,Wed,Home,W,5,0,dk FC Copenhagen,4.3,0.4,75,51765,?lkay GŸndo?an,4-4-2,Donatas Rum?as,Match Report,
10/8/2022,3:00:00 PM,Premier League,Matchweek 10,Sat,Home,W,4,0,Southampton,2.4,0.2,65,53365,Kevin De Bruyne,4-2-3-1,Andy Madley,Match Report,
10/11/2022,6:45:00 PM,Champions Lg,Group stage,Tue,Away,D,0,0,dk FC Copenhagen,1.6,0.3,59,35447,?lkay GŸndo?an,4-2-3-1,Artur Dias,Match Report,
10/16/2022,4:30:00 PM,Premier League,Matchweek 11,Sun,Away,L,0,1,Liverpool,1,2.1,63,53286,?lkay GŸndo?an,3-4-3,Anthony Taylor,Match Report,
10/19/2022,7:30:00 PM,Premier League,Matchweek 12,Wed,Away,,,,Arsenal,,,,,,,,,Match Postponed
