Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Ederson,br BRA,GK,29-094,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Jo?o Cancelo,pt POR,DF,28-176,12.4,2,15,3,20,1.21,0.24,0.13,0.67,23.8,0,0,0,0.7,0.7,0.05,1.3,1.3,Matches
Kevin De Bruyne,be BEL,MF,31-144,12.6,3,34,12,35.3,2.71,0.95,0.09,0.25,23.4,4,0,0,2.5,2.5,0.07,0.5,0.5,Matches
Rodri,es ESP,MF,26-150,12.5,0,20,4,20,1.6,0.32,0,0,20,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Bernardo Silva,pt POR,"MF,FW",28-101,11.9,2,14,4,28.6,1.18,0.34,0.14,0.5,17.5,0,0,0,1.3,1.3,0.09,0.7,0.7,Matches
Erling Haaland,no NOR,FW,22-121,11.5,18,49,25,51,4.25,2.17,0.31,0.6,12.2,0,3,3,11.1,8.7,0.18,6.9,6.3,Matches
Phil Foden,eng ENG,"FW,DF",22-175,10.1,7,27,14,51.9,2.68,1.39,0.26,0.5,14.4,0,0,0,3.7,3.7,0.14,3.3,3.3,Matches
?lkay GÅndo?an,de GER,MF,32-026,9.9,2,21,7,33.3,2.12,0.71,0.1,0.29,19.9,2,0,0,2.1,2.1,0.1,-0.1,-0.1,Matches
R£ben Dias,pt POR,DF,25-189,9.7,0,5,1,20,0.52,0.1,0,0,10,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
John Stones,eng ENG,DF,28-175,8.1,0,5,1,20,0.62,0.12,0,0,13.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Manuel Akanji,ch SUI,DF,27-123,7.8,0,9,1,11.1,1.16,0.13,0,0,17.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Nathan AkÇ,nl NED,DF,27-274,6.3,0,3,0,0,0.47,0,0,,12.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Kyle Walker,eng ENG,DF,32-175,6.2,0,1,0,0,0.16,0,0,,9.7,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Jack Grealish,eng ENG,FW,27-070,6.1,1,7,2,28.6,1.15,0.33,0.14,0.5,14.9,0,0,0,0.9,0.9,0.13,0.1,0.1,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-271,4.1,1,12,4,33.3,2.9,0.97,0.08,0.25,16.7,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Matches
Juli†n ?lvarez,ar ARG,"FW,MF",22-292,4,3,11,6,54.5,2.72,1.48,0.27,0.5,15,0,0,0,1.3,1.3,0.12,1.7,1.7,Matches
Aymeric Laporte,es ESP,DF,28-176,3.2,0,7,0,0,2.2,0,0,,16.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Sergio G¢mez,es ESP,"DF,MF",22-076,1.2,0,2,0,0,1.62,0,0,,17.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Cole Palmer,eng ENG,"FW,MF",20-197,1.2,0,2,0,0,1.7,0,0,,13.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Rico Lewis,eng ENG,"DF,MF",17-363,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Kalvin Phillips,eng ENG,MF,26-352,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
